nCorrect,nTrials,pCorrect,Fold
455,677,67.2082717872969,1
448,678,66.0766961651917,2
456,678,67.2566371681416,3
454,678,66.9616519174041,4
449,677,66.3220088626292,5
454,678,66.9616519174041,6
452,677,66.7651403249631,7
443,678,65.3392330383481,8
425,678,62.6843657817109,9
436,677,64.4017725258493,10
462,677,68.2422451994092,11
458,678,67.551622418879,12
452,677,66.7651403249631,13
471,677,69.5716395864106,14
466,677,68.8330871491876,15
458,678,67.551622418879,16
473,678,69.76401179941,17
459,677,67.7991137370753,18
477,678,70.353982300885,19
452,678,66.6666666666667,20
