Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	52.395	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	9	53.765	0.130	1	255	
2	0	126.013	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.451	3	127.832	0.120	1	255	
3	0	132.592	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.526	9	133.960	0.130	1	255	
4	0	141.197	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.601	9	142.709	0.130	1	255	
5	0	169.341	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.564	9	170.956	0.130	1	255	
6	0	276.768	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.526	3	279.218	0.120	1	255	
7	0	283.284	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.488	3	285.315	0.120	1	255	
8	0	308.516	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.564	9	309.605	0.130	1	255	
9	0	316.070	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.451	3	318.116	0.120	1	255	
10	0	322.546	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.601	9	324.449	0.130	1	255	
11	0	347.943	0	60	1	0.250	2	3	0.0	1.0	3	45.0	20.000	3	0.601	3	350.794	0.120	1	255	
12	0	355.142	1	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	3	361.558	0.000	0	255	
13	1	386.487	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	9	388.425	0.130	1	255	
14	0	405.278	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.451	3	407.581	0.120	1	255	
15	0	411.513	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.564	3	413.955	0.120	1	255	
16	0	426.354	0	60	1	0.250	2	3	0.0	1.0	1	45.0	20.000	3	0.526	3	429.062	0.120	1	255	
17	0	433.107	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.451	9	435.117	0.130	1	255	
18	0	442.689	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.601	9	444.340	0.130	1	255	
19	0	455.562	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.488	3	457.723	0.120	1	255	
20	0	461.535	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.526	9	463.460	0.130	1	255	
21	0	478.431	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.564	3	480.377	0.120	1	255	
22	0	494.376	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.601	9	496.920	0.130	1	255	
23	0	505.398	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.564	3	507.332	0.120	1	255	
24	0	511.016	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	9	512.536	0.130	1	255	
25	0	528.393	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.451	3	530.313	0.120	1	255	
26	0	542.913	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.526	3	545.146	0.120	1	255	
27	0	567.597	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.601	3	569.400	0.120	1	255	
28	0	573.104	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.451	9	574.950	0.130	1	255	
29	0	580.276	0	60	1	0.250	2	9	0.0	1.0	11	45.0	20.000	9	0.526	3	582.278	0.000	0	255	
30	0	585.852	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.564	3	588.125	0.120	1	255	
31	0	591.985	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.488	3	593.796	0.120	1	255	
32	0	597.556	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.451	3	600.083	0.120	1	255	
33	0	630.623	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	9	632.240	0.130	1	255	
34	0	643.302	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.564	3	645.224	0.120	1	255	
35	0	648.634	0	60	1	0.250	2	9	0.0	1.0	9	45.0	20.000	9	0.601	9	650.505	0.130	1	255	
36	0	659.261	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.526	9	660.840	0.130	1	255	
37	0	669.829	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.451	9	671.188	0.130	1	255	
38	0	682.229	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.488	3	684.474	0.120	1	255	
39	0	688.089	0	60	1	0.250	2	3	0.0	1.0	12	45.0	20.000	3	0.601	3	690.315	0.120	1	255	
40	0	693.735	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.526	9	695.911	0.130	1	255	
41	0	711.935	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.564	9	713.188	0.130	1	255	
42	0	723.425	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	3	726.149	0.000	0	255	
43	1	732.078	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.488	9	733.441	0.130	1	255	
44	0	752.325	0	60	1	0.250	2	9	0.0	1.0	6	45.0	20.000	9	0.526	9	753.838	0.130	1	255	
45	0	761.421	0	60	1	0.250	2	9	0.0	1.0	9	45.0	20.000	9	0.601	9	763.206	0.130	1	255	
