nCorrect,nTrials,pCorrect,Fold
718,1392,51.5804597701149,1
701,1392,50.3591954022989,2
699,1392,50.2155172413793,3
733,1392,52.6580459770115,4
740,1392,53.1609195402299,5
689,1392,49.4971264367816,6
696,1392,50,7
722,1392,51.867816091954,8
713,1392,51.2212643678161,9
716,1392,51.4367816091954,10
711,1392,51.0775862068966,11
699,1392,50.2155172413793,12
689,1392,49.4971264367816,13
720,1392,51.7241379310345,14
721,1392,51.7959770114943,15
709,1392,50.933908045977,16
674,1392,48.4195402298851,17
708,1392,50.8620689655172,18
719,1392,51.6522988505747,19
727,1392,52.2270114942529,20
