nCorrect,nTrials,pCorrect,Fold
698,1433,48.7090020935101,1
674,1434,47.0013947001395,2
712,1433,49.6859734822052,3
751,1434,52.370990237099,4
723,1433,50.453593859037,5
694,1433,48.4298674110258,6
682,1434,47.5592747559275,7
726,1433,50.6629448709002,8
720,1434,50.2092050209205,9
700,1434,48.8145048814505,10
683,1433,47.662247034194,11
710,1433,49.546406140963,12
676,1434,47.1408647140865,13
715,1433,49.8953244940684,14
732,1434,51.0460251046025,15
700,1433,48.8485694347523,16
713,1433,49.7557571528262,17
731,1433,51.0118632240056,18
680,1433,47.4528960223308,19
686,1433,47.8715980460572,20
