Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
138	0	676.976	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	3	678.818	0.000	0	255	
139	1	684.097	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.801	9	684.795	0.140	1	255	
140	0	688.416	0	120	1	0.250	2	3	0.0	1.0	1	48.0	20.000	3	0.751	3	690.000	0.140	1	255	
141	0	693.363	1	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	697.792	0.140	1	255	
142	0	700.814	0	120	1	0.250	2	9	0.0	1.0	4	48.0	20.000	9	0.601	9	701.610	0.140	1	255	
143	0	704.967	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	3	706.324	0.000	0	255	
144	1	711.349	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.701	3	712.631	0.000	0	255	
145	1	720.194	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.751	9	720.948	0.140	1	255	
146	0	724.578	0	120	1	0.250	2	9	0.0	1.0	4	48.0	20.000	9	0.751	3	725.569	0.000	0	255	
147	0	728.704	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	729.666	0.140	1	255	
148	0	732.613	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.701	3	733.598	0.140	1	255	
149	0	736.560	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.651	3	737.632	0.140	1	255	
150	0	740.789	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.601	9	741.703	0.140	1	255	
151	0	745.656	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.751	3	746.771	0.140	1	255	
152	0	750.191	0	120	1	0.250	2	9	0.0	1.0	1	48.0	20.000	9	0.801	3	751.021	0.000	0	255	
153	0	754.056	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	9	754.942	0.140	1	255	
154	0	757.799	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.701	3	758.770	0.140	1	255	
155	0	761.774	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.601	3	762.846	0.140	1	255	
156	0	765.577	0	120	1	0.250	2	3	0.0	1.0	7	48.0	20.000	3	0.701	3	766.737	0.140	1	255	
157	0	769.414	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.601	3	771.062	0.000	0	255	
158	1	776.383	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.801	9	777.155	0.140	1	255	
159	0	780.565	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	9	781.293	0.140	1	255	
160	0	784.357	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.751	9	785.089	0.140	1	255	
161	0	788.551	0	120	1	0.250	2	3	0.0	1.0	10	48.0	20.000	3	0.801	3	789.287	0.140	1	255	
162	0	792.141	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.651	9	792.562	0.140	1	255	
163	0	795.816	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.751	3	797.302	0.140	1	255	
164	0	800.133	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.701	3	801.087	0.140	1	255	
165	0	804.311	0	120	1	0.250	2	9	0.0	1.0	5	48.0	20.000	9	0.601	9	805.061	0.140	1	255	
166	0	808.387	0	120	1	0.250	2	9	0.0	1.0	3	48.0	20.000	9	0.601	3	809.545	0.000	0	255	
167	0	812.678	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.801	3	814.266	0.140	1	255	
168	0	817.284	0	120	1	0.250	2	3	0.0	1.0	11	48.0	20.000	3	0.651	3	818.476	0.140	1	255	
169	0	821.280	0	120	1	0.250	2	3	0.0	1.0	7	48.0	20.000	3	0.701	9	821.889	0.000	0	255	
