nCorrect,nTrials,pCorrect,Fold
484,839,57.6877234803337,1
497,838,59.3078758949881,2
530,838,63.2458233890215,3
545,838,65.035799522673,4
512,838,61.0978520286396,5
508,838,60.6205250596659,6
517,838,61.6945107398568,7
514,838,61.3365155131265,8
552,838,65.8711217183771,9
483,838,57.63723150358,10
519,838,61.9331742243437,11
513,838,61.2171837708831,12
554,839,66.030989272944,13
559,839,66.626936829559,14
497,838,59.3078758949881,15
533,838,63.6038186157518,16
507,838,60.5011933174224,17
501,839,59.7139451728248,18
519,839,61.8593563766388,19
488,838,58.2338902147971,20
