nCorrect,nTrials,pCorrect,Fold
1498,2352,63.6904761904762,1
1482,2353,62.9834254143646,2
1482,2352,63.0102040816327,3
1488,2352,63.265306122449,4
1524,2352,64.7959183673469,5
1472,2352,62.5850340136054,6
1569,2353,66.6808329791755,7
1574,2353,66.8933276668083,8
1495,2353,63.5359116022099,9
1531,2353,65.0658733531662,10
1516,2352,64.4557823129252,11
1458,2352,61.9897959183673,12
1533,2353,65.1508712282193,13
1498,2353,63.6634084147896,14
1526,2353,64.8533786655334,15
1530,2353,65.0233744156396,16
1575,2353,66.9358266043349,17
1503,2352,63.9030612244898,18
1435,2353,60.9859753506162,19
1421,2352,60.4166666666667,20
