Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED Location	LED_trial_V	LED_bgnd_V	Speaker Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	
1	0	29.648	0	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.351	3	31.413	0.000	0	
2	1	41.812	0	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	44.195	0.250	1	
3	0	54.126	0	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	55.943	0.250	1	
4	0	65.679	0	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.501	3	67.260	0.150	1	
5	0	73.352	0	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	3	74.118	0.150	1	
6	0	86.900	0	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	88.071	0.250	1	
7	0	97.033	0	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.501	9	98.219	0.250	1	
8	0	111.853	0	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.351	9	113.889	0.000	0	
9	1	120.057	0	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	121.538	0.150	1	
10	0	133.664	0	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	3	134.901	0.150	1	
11	0	140.556	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.351	9	141.895	0.250	1	
12	0	150.673	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.501	9	153.227	0.250	1	
13	0	162.248	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	164.920	0.150	1	
14	0	170.493	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	171.543	0.150	1	
15	0	177.001	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.401	3	178.611	0.000	0	
16	1	183.642	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	3	184.811	0.000	0	
17	1	190.094	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.401	9	192.056	0.250	1	
18	0	201.151	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.501	9	202.210	0.250	1	
19	0	211.550	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	9	213.028	0.000	0	
20	1	218.873	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.351	3	220.217	0.150	1	
21	0	229.306	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.351	3	230.697	0.150	1	
22	0	236.199	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	237.798	0.250	1	
23	0	245.901	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	248.967	0.250	1	
24	0	260.395	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.501	9	262.063	0.000	0	
25	1	268.480	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	3	270.499	0.150	1	
26	0	280.869	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	281.995	0.150	1	
27	0	287.939	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.351	3	289.257	0.150	1	
28	0	301.559	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	303.338	0.250	1	
29	0	310.896	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.401	3	312.516	0.000	0	
30	1	318.043	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.501	9	320.233	0.250	1	
31	0	333.774	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	9	335.280	0.000	0	
32	1	340.008	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	341.810	0.150	1	
33	0	358.232	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	359.711	0.150	1	
34	0	365.638	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.501	3	366.563	0.150	1	
35	0	373.812	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.351	3	376.123	0.000	0	
36	1	384.746	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	387.527	0.250	1	
37	0	397.963	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	399.176	0.250	1	
38	0	408.619	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.501	9	410.065	0.250	1	
39	0	420.692	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.401	9	423.020	0.000	0	
40	1	429.651	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.351	3	431.332	0.150	1	
41	0	437.694	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.401	9	439.470	0.250	1	
42	0	450.399	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	9	453.324	0.000	0	
43	1	459.690	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.501	3	462.398	0.150	1	
44	0	478.023	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.351	3	479.217	0.150	1	
