nCorrect,nTrials,pCorrect,Fold
1517,2353,64.4708882277943,1
1474,2352,62.6700680272109,2
1481,2353,62.9409264768381,3
1562,2353,66.3833404164896,4
1463,2352,62.202380952381,5
1493,2352,63.4778911564626,6
1489,2353,63.2809179770506,7
1476,2352,62.7551020408163,8
1487,2352,63.2227891156463,9
1533,2353,65.1508712282193,10
1485,2353,63.1109222269443,11
1519,2353,64.5558861028474,12
1544,2353,65.6183595410115,13
1452,2353,61.7084572885678,14
1479,2352,62.8826530612245,15
1561,2353,66.340841478963,16
1427,2352,60.671768707483,17
1488,2352,63.265306122449,18
1483,2353,63.0259243518912,19
1525,2352,64.8384353741497,20
