nCorrect,nTrials,pCorrect,Fold
322,678,47.4926253687316,1
320,677,47.2673559822747,2
330,678,48.6725663716814,3
338,677,49.9261447562777,4
330,677,48.7444608567208,5
333,678,49.1150442477876,6
349,677,51.5509601181684,7
344,678,50.7374631268437,8
347,678,51.1799410029499,9
347,677,51.2555391432792,10
346,678,51.0324483775811,11
349,678,51.4749262536873,12
364,678,53.6873156342183,13
315,677,46.5288035450517,14
357,677,52.7326440177253,15
365,677,53.9143279172821,16
355,677,52.437223042836,17
347,678,51.1799410029499,18
358,678,52.8023598820059,19
358,678,52.8023598820059,20
