nCorrect,nTrials,pCorrect,Fold
255,529,48.2041587901701,1
287,529,54.2533081285444,2
262,529,49.5274102079395,3
261,529,49.3383742911153,4
255,529,48.2041587901701,5
286,529,54.0642722117202,6
265,529,50.0945179584121,7
262,528,49.6212121212121,8
260,529,49.1493383742911,9
253,529,47.8260869565217,10
258,529,48.7712665406427,11
279,529,52.7410207939509,12
251,529,47.4480151228733,13
252,529,47.6370510396975,14
273,529,51.6068052930057,15
256,528,48.4848484848485,16
264,529,49.9054820415879,17
244,529,46.124763705104,18
243,529,45.9357277882798,19
247,529,46.6918714555766,20
