nCorrect,nTrials,pCorrect,Fold
548,837,65.4719235364397,1
559,837,66.7861409796894,2
548,837,65.4719235364397,3
539,836,64.4736842105263,4
545,837,65.1135005973716,5
560,837,66.9056152927121,6
532,837,63.5603345280765,7
557,837,66.547192353644,8
562,836,67.2248803827751,9
554,837,66.1887694145759,10
549,836,65.6698564593301,11
574,837,68.5782556750299,12
566,837,67.6224611708483,13
554,837,66.1887694145759,14
534,836,63.8755980861244,15
528,837,63.0824372759857,16
573,837,68.4587813620072,17
572,836,68.4210526315789,18
572,837,68.3393070489845,19
540,837,64.5161290322581,20
