nCorrect,nTrials,pCorrect,Fold
716,1392,51.4367816091954,1
699,1392,50.2155172413793,2
703,1392,50.5028735632184,3
718,1392,51.5804597701149,4
729,1392,52.3706896551724,5
688,1392,49.4252873563218,6
719,1392,51.6522988505747,7
702,1392,50.4310344827586,8
708,1392,50.8620689655172,9
721,1392,51.7959770114943,10
697,1392,50.0718390804598,11
708,1392,50.8620689655172,12
679,1392,48.7787356321839,13
726,1392,52.1551724137931,14
715,1392,51.3649425287356,15
703,1392,50.5028735632184,16
675,1392,48.4913793103448,17
704,1392,50.5747126436782,18
723,1392,51.9396551724138,19
716,1392,51.4367816091954,20
