nCorrect,nTrials,pCorrect,Fold
742,1392,53.3045977011494,1
703,1392,50.5028735632184,2
700,1392,50.2873563218391,3
731,1392,52.514367816092,4
742,1392,53.3045977011494,5
688,1392,49.4252873563218,6
701,1392,50.3591954022989,7
728,1392,52.2988505747126,8
710,1392,51.0057471264368,9
715,1392,51.3649425287356,10
703,1392,50.5028735632184,11
694,1392,49.8563218390805,12
691,1392,49.6408045977011,13
716,1392,51.4367816091954,14
713,1392,51.2212643678161,15
703,1392,50.5028735632184,16
675,1392,48.4913793103448,17
702,1392,50.4310344827586,18
723,1392,51.9396551724138,19
725,1392,52.0833333333333,20
