nCorrect,nTrials,pCorrect,Fold
1551,2353,65.9158521036974,1
1565,2352,66.5391156462585,2
1481,2352,62.9676870748299,3
1530,2352,65.0510204081633,4
1550,2353,65.8733531661708,5
1517,2352,64.4982993197279,6
1548,2352,65.8163265306122,7
1504,2353,63.918402039949,8
1592,2352,67.687074829932,9
1527,2352,64.9234693877551,10
1537,2353,65.3208669783255,11
1565,2353,66.5108372290693,12
1586,2352,67.4319727891156,13
1565,2353,66.5108372290693,14
1507,2352,64.0731292517007,15
1507,2353,64.0458988525287,16
1511,2353,64.2158946026349,17
1593,2353,67.700807479813,18
1532,2353,65.1083722906927,19
1559,2353,66.2558436039099,20
