nCorrect,nTrials,pCorrect,Fold
350,529,66.1625708884688,1
355,529,67.1077504725898,2
345,529,65.2173913043478,3
350,529,66.1625708884688,4
343,529,64.8393194706994,5
345,529,65.2173913043478,6
359,529,67.8638941398866,7
331,528,62.6893939393939,8
316,529,59.7353497164461,9
357,529,67.4858223062382,10
332,529,62.7599243856333,11
349,529,65.9735349716446,12
343,529,64.8393194706994,13
311,529,58.7901701323251,14
331,529,62.5708884688091,15
349,528,66.0984848484848,16
329,529,62.1928166351607,17
365,529,68.9981096408318,18
336,529,63.5160680529301,19
348,529,65.7844990548204,20
