nCorrect,nTrials,pCorrect,Fold
423,838,50.4773269689737,1
417,838,49.7613365155131,2
437,838,52.1479713603819,3
402,838,47.9713603818616,4
424,838,50.5966587112172,5
401,838,47.8520286396181,6
398,838,47.4940334128878,7
406,839,48.3909415971395,8
435,838,51.909307875895,9
420,838,50.1193317422434,10
425,839,50.6555423122765,11
419,839,49.9404052443385,12
431,838,51.4319809069212,13
424,838,50.5966587112172,14
419,838,50,15
407,839,48.5101311084625,16
417,838,49.7613365155131,17
444,839,52.9201430274136,18
423,838,50.4773269689737,19
399,838,47.6133651551313,20
