nCorrect,nTrials,pCorrect,Fold
335,664,50.4518072289157,1
344,664,51.8072289156626,2
355,664,53.4638554216867,3
321,664,48.3433734939759,4
332,664,50,5
328,663,49.4720965309201,6
337,664,50.7530120481928,7
344,664,51.8072289156626,8
340,663,51.2820512820513,9
319,663,48.1146304675716,10
315,663,47.5113122171946,11
319,663,48.1146304675716,12
326,664,49.0963855421687,13
331,664,49.8493975903614,14
356,664,53.6144578313253,15
356,664,53.6144578313253,16
328,664,49.3975903614458,17
335,664,50.4518072289157,18
321,664,48.3433734939759,19
348,664,52.4096385542169,20
