nCorrect,nTrials,pCorrect,Fold
329,663,49.6229260935143,1
338,664,50.9036144578313,2
337,664,50.7530120481928,3
346,663,52.1870286576169,4
331,664,49.8493975903614,5
334,663,50.3770739064857,6
313,664,47.1385542168675,7
316,664,47.5903614457831,8
312,663,47.0588235294118,9
327,664,49.2469879518072,10
344,664,51.8072289156626,11
321,664,48.3433734939759,12
314,664,47.289156626506,13
354,664,53.3132530120482,14
329,664,49.5481927710843,15
349,664,52.5602409638554,16
326,664,49.0963855421687,17
326,663,49.1704374057315,18
345,664,51.9578313253012,19
347,664,52.2590361445783,20
