Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	13.220	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.538	9	13.604	0.000	0	255	
2	1	21.170	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.651	3	21.812	0.140	1	255	
3	0	24.819	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.614	9	25.221	0.140	1	255	
4	0	28.076	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.501	3	28.445	0.140	1	255	
5	0	31.055	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.576	9	31.428	0.140	1	255	
6	0	35.089	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.576	3	35.410	0.140	1	255	
7	0	38.189	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	9	38.470	0.140	1	255	
8	0	46.829	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.538	9	47.147	0.140	1	255	
9	0	51.586	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.651	3	52.096	0.140	1	255	
10	0	59.458	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.614	9	60.178	0.140	1	255	
11	0	63.583	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.651	9	64.299	0.140	1	255	
12	0	67.516	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.614	3	68.078	0.000	0	255	
13	1	75.304	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.576	9	75.574	0.140	1	255	
14	0	79.002	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.538	3	79.651	0.140	1	255	
15	0	84.286	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	9	84.699	0.140	1	255	
16	0	92.688	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.614	3	93.000	0.140	1	255	
17	0	96.832	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	3	97.678	0.000	0	255	
18	1	101.303	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.576	3	102.258	0.000	0	255	
19	1	107.527	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.538	3	107.860	0.000	0	255	
20	1	114.332	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.651	3	114.907	0.000	0	255	
21	1	124.565	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.651	3	125.555	0.000	0	255	
22	1	129.593	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	3	130.020	0.000	0	255	
23	1	134.002	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.538	9	134.479	0.140	1	255	
24	0	138.368	0	30	1	0.250	2	3	0.0	0.0	9	45.0	30.000	3	0.614	9	138.702	0.000	0	255	
25	0	141.096	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.576	9	141.689	0.000	0	255	
26	1	145.805	1	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.576	3	146.769	0.140	1	255	
27	0	149.223	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	9	149.812	0.140	1	255	
28	0	152.810	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.651	9	153.142	0.000	0	255	
29	1	157.800	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.538	3	158.675	0.140	1	255	
30	0	161.317	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.614	3	161.859	0.140	1	255	
31	0	165.158	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	9	165.487	0.140	1	255	
32	0	170.648	0	30	1	0.250	2	9	0.0	0.0	6	45.0	30.000	9	0.651	9	171.210	0.140	1	255	
33	0	181.765	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.614	3	182.184	0.000	0	255	
34	1	185.968	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.538	9	186.617	0.140	1	255	
35	0	189.394	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.576	3	189.689	0.140	1	255	
36	0	192.702	0	30	1	0.250	2	3	0.0	0.0	2	45.0	30.000	3	0.501	3	193.646	0.140	1	255	
37	0	198.635	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.538	9	199.183	0.140	1	255	
38	0	202.612	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.576	9	202.955	0.140	1	255	
39	0	205.394	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.614	3	205.929	0.140	1	255	
40	0	208.556	0	30	1	0.250	2	3	0.0	0.0	9	45.0	30.000	3	0.651	3	209.507	0.140	1	255	
41	0	212.156	1	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.501	3	212.855	0.140	1	255	
42	0	218.810	0	30	1	0.250	2	3	0.0	0.0	10	45.0	30.000	3	0.651	3	220.073	0.140	1	255	
43	0	223.365	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.576	3	224.917	0.140	1	255	
44	0	227.396	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.538	3	228.204	0.140	1	255	
45	0	231.157	0	30	1	0.250	2	9	0.0	0.0	7	45.0	30.000	9	0.614	9	231.470	0.140	1	255	
46	0	234.117	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	9	234.606	0.140	1	255	
47	0	237.778	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.538	3	238.388	0.140	1	255	
48	0	240.965	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.576	3	241.842	0.140	1	255	
49	0	247.089	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.651	9	247.708	0.140	1	255	
50	0	250.741	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.614	9	251.154	0.140	1	255	
51	0	253.763	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	9	254.505	0.140	1	255	
52	0	257.188	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.651	3	257.743	0.140	1	255	
53	0	260.829	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.576	3	261.891	0.140	1	255	
54	0	266.142	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.538	3	266.890	0.140	1	255	
55	0	269.622	1	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.614	9	269.917	0.140	1	255	
56	0	273.154	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.651	9	274.962	0.140	1	255	
57	0	277.738	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	9	278.900	0.140	1	255	
58	0	281.948	0	30	1	0.250	2	3	0.0	0.0	4	45.0	30.000	3	0.614	9	282.682	0.000	0	255	
59	0	290.076	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.576	9	290.968	0.140	1	255	
60	0	293.709	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.538	9	294.181	0.140	1	255	
61	0	296.992	0	30	1	0.250	2	9	0.0	0.0	3	45.0	30.000	9	0.576	3	297.447	0.000	0	255	
62	0	300.375	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.651	9	300.618	0.140	1	255	
63	0	303.104	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.501	3	303.992	0.000	0	255	
64	1	308.175	0	30	1	0.250	2	9	0.0	0.0	5	45.0	30.000	9	0.614	9	308.487	0.140	1	255	
65	0	311.792	0	30	1	0.250	2	9	0.0	0.0	2	45.0	30.000	9	0.538	9	312.173	0.140	1	255	
66	0	314.720	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.576	3	315.408	0.140	1	255	
67	0	318.480	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.538	9	319.196	0.000	0	255	
68	1	328.319	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.614	3	328.605	0.140	1	255	
69	0	330.091	0	30	1	0.250	2	3	0.0	0.0	11	45.0	30.000	3	0.501	3	330.633	0.140	1	255	
70	0	333.930	0	30	1	0.250	2	9	0.0	0.0	1	45.0	30.000	9	0.651	3	334.414	0.000	0	255	
