nCorrect,nTrials,pCorrect,Fold
325,663,49.0196078431373,1
337,664,50.7530120481928,2
349,664,52.5602409638554,3
347,663,52.3378582202112,4
334,664,50.3012048192771,5
330,663,49.7737556561086,6
311,664,46.8373493975904,7
316,664,47.5903614457831,8
317,663,47.8129713423831,9
332,664,50,10
347,664,52.2590361445783,11
321,664,48.3433734939759,12
317,664,47.7409638554217,13
357,664,53.7650602409639,14
328,664,49.3975903614458,15
346,664,52.1084337349398,16
326,664,49.0963855421687,17
324,663,48.868778280543,18
335,664,50.4518072289157,19
344,664,51.8072289156626,20
