nCorrect,nTrials,pCorrect,Fold
341,678,50.2949852507375,1
354,677,52.2895125553914,2
332,677,49.03988183161,3
315,677,46.5288035450517,4
333,677,49.1875923190547,5
350,677,51.698670605613,6
339,678,50,7
336,678,49.5575221238938,8
356,677,52.5849335302807,9
357,678,52.6548672566372,10
345,678,50.8849557522124,11
355,677,52.437223042836,12
347,677,51.2555391432792,13
349,678,51.4749262536873,14
335,678,49.4100294985251,15
346,678,51.0324483775811,16
338,678,49.8525073746313,17
345,677,50.96011816839,18
339,678,50,19
335,678,49.4100294985251,20
