nCorrect,nTrials,pCorrect,Fold
414,663,62.4434389140271,1
432,664,65.0602409638554,2
424,664,63.855421686747,3
405,664,60.9939759036145,4
418,663,63.0467571644042,5
403,664,60.6927710843374,6
414,664,62.3493975903614,7
429,663,64.7058823529412,8
407,664,61.2951807228916,9
420,664,63.2530120481928,10
408,664,61.4457831325301,11
421,664,63.4036144578313,12
414,663,62.4434389140271,13
438,663,66.0633484162896,14
399,664,60.0903614457831,15
433,664,65.210843373494,16
414,664,62.3493975903614,17
423,664,63.7048192771084,18
396,664,59.6385542168675,19
427,664,64.3072289156626,20
