Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED Location	LED_trial_V	LED_bgnd_V	Speaker Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	
1	0	68.456	0	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	70.246	0.300	1	
2	0	97.063	0	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	9	98.758	0.000	0	
3	1	105.691	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	9	109.470	0.000	0	
4	1	111.675	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	112.843	0.150	1	
5	0	128.896	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.601	9	130.142	0.300	1	
6	0	151.866	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	154.921	0.300	1	
7	0	173.766	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	9	176.531	0.000	0	
8	1	181.382	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	183.187	0.150	1	
9	0	190.645	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	191.909	0.300	1	
10	0	213.176	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.376	9	214.717	0.300	1	
11	0	235.990	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	9	237.198	0.000	0	
12	1	239.862	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	9	244.582	0.000	0	
13	1	246.871	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	3	247.963	0.150	1	
14	0	259.969	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	261.352	0.150	1	
15	0	266.477	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	269.663	0.150	1	
16	0	275.804	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	277.029	0.150	1	
17	0	284.143	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	285.676	0.300	1	
18	0	303.884	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	9	305.552	0.000	0	
19	1	316.003	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	9	320.244	0.000	0	
20	1	322.072	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	323.532	0.150	1	
21	0	336.675	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	3	337.873	0.150	1	
22	0	342.888	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.526	9	345.444	0.300	1	
23	0	363.767	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	365.028	0.150	1	
24	0	373.588	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	374.753	0.150	1	
25	0	387.094	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.601	9	388.155	0.300	1	
26	0	403.699	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	9	406.101	0.300	1	
27	0	424.428	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	426.041	0.300	1	
28	0	445.352	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	3	446.817	0.150	1	
29	0	460.010	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	461.000	0.150	1	
30	0	468.130	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.601	9	469.268	0.300	1	
31	0	481.169	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.451	9	482.885	0.000	0	
32	1	491.701	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	492.712	0.150	1	
33	0	499.427	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.301	3	502.111	0.000	0	
34	1	505.802	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.526	9	507.152	0.300	1	
35	0	518.342	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	9	521.375	0.000	0	
36	1	527.259	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.601	3	528.440	0.150	1	
37	0	534.356	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	535.258	0.150	1	
38	0	542.017	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	544.491	0.300	1	
39	0	565.264	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.526	9	566.697	0.300	1	
40	0	585.266	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	586.384	0.150	1	
41	0	596.814	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.376	9	598.187	0.300	1	
42	0	619.708	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.451	9	622.700	0.300	1	
43	0	631.898	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	633.154	0.150	1	
44	0	658.491	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.601	9	660.163	0.300	1	
45	0	671.067	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.526	9	672.446	0.000	0	
46	1	677.446	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.376	3	679.044	0.150	1	
47	0	691.671	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.601	9	694.544	0.300	1	
48	0	706.153	1	0	1	0.250	2	9	0.0	1.0	6	45.0	30.000	9	0.526	9	707.558	0.300	1	
49	0	722.910	1	0	1	0.250	2	3	0.0	1.0	12	45.0	30.000	3	0.301	3	724.019	0.150	1	
