Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
62	0	1519.266	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.538	9	1520.372	0.180	1	255	
63	0	1575.135	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.501	9	1578.472	0.180	1	255	
64	0	1599.248	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.576	3	1600.849	0.000	0	255	
65	1	1613.665	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.576	9	1614.616	0.180	1	255	
66	0	1652.448	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.651	3	1653.846	0.125	1	255	
67	0	1685.320	0	150	1	0.250	2	9	0.0	0.5	6	45.0	30.000	9	0.538	9	1688.295	0.180	1	255	
68	0	1724.761	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.614	3	1727.711	0.125	1	255	
69	0	1735.922	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.501	9	1737.203	0.000	0	255	
70	1	1747.319	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.501	9	1748.277	0.000	0	255	
71	1	1755.144	0	150	1	0.250	2	3	0.0	0.5	12	45.0	30.000	3	0.501	3	1756.291	0.125	1	255	
