nCorrect,nTrials,pCorrect,Fold
725,1434,50.557880055788,1
716,1433,49.9651081646895,2
704,1433,49.1277041172366,3
749,1433,52.2679692951849,4
745,1433,51.9888346127006,5
712,1433,49.6859734822052,6
702,1433,48.9881367759944,7
692,1433,48.2903000697837,8
737,1433,51.430565247732,9
700,1434,48.8145048814505,10
735,1434,51.255230125523,11
705,1434,49.163179916318,12
728,1434,50.7670850767085,13
725,1433,50.5931612002791,14
733,1434,51.115760111576,15
702,1434,48.9539748953975,16
698,1433,48.7090020935101,17
686,1433,47.8715980460572,18
717,1433,50.0348918353105,19
714,1433,49.8255408234473,20
