nCorrect,nTrials,pCorrect,Fold
869,1392,62.4281609195402,1
807,1392,57.9741379310345,2
817,1392,58.6925287356322,3
863,1392,61.9971264367816,4
849,1392,60.9913793103448,5
847,1392,60.8477011494253,6
836,1392,60.0574712643678,7
831,1392,59.698275862069,8
866,1392,62.2126436781609,9
845,1392,60.7040229885057,10
816,1392,58.6206896551724,11
827,1392,59.4109195402299,12
880,1392,63.2183908045977,13
808,1392,58.0459770114943,14
839,1392,60.2729885057471,15
857,1392,61.566091954023,16
860,1392,61.7816091954023,17
828,1392,59.4827586206897,18
825,1392,59.2672413793103,19
841,1392,60.4166666666667,20
