nCorrect,nTrials,pCorrect,Fold
845,1392,60.7040229885057,1
843,1392,60.5603448275862,2
826,1392,59.3390804597701,3
858,1392,61.6379310344828,4
840,1392,60.3448275862069,5
845,1392,60.7040229885057,6
843,1392,60.5603448275862,7
861,1392,61.8534482758621,8
832,1392,59.7701149425287,9
845,1392,60.7040229885057,10
827,1392,59.4109195402299,11
838,1392,60.2011494252874,12
815,1392,58.5488505747126,13
845,1392,60.7040229885057,14
876,1392,62.9310344827586,15
805,1392,57.8304597701149,16
851,1392,61.1350574712644,17
858,1392,61.6379310344828,18
905,1392,65.014367816092,19
850,1392,61.0632183908046,20
