nCorrect,nTrials,pCorrect,Fold
687,1433,47.9413817166783,1
702,1433,48.9881367759944,2
736,1433,51.360781577111,3
727,1433,50.7327285415213,4
741,1433,51.7096999302163,5
729,1434,50.836820083682,6
716,1433,49.9651081646895,7
714,1434,49.7907949790795,8
676,1433,47.1737613398465,9
705,1434,49.163179916318,10
705,1433,49.1974877878576,11
727,1434,50.697350069735,12
703,1434,49.023709902371,13
743,1433,51.8492672714585,14
697,1433,48.639218422889,15
715,1434,49.860529986053,16
731,1433,51.0118632240056,17
725,1433,50.5931612002791,18
728,1434,50.7670850767085,19
699,1433,48.7787857641312,20
