nCorrect,nTrials,pCorrect,Fold
574,837,68.5782556750299,1
556,837,66.4277180406213,2
542,837,64.7550776583035,3
562,836,67.2248803827751,4
539,837,64.3966547192354,5
558,836,66.7464114832536,6
531,837,63.4408602150538,7
544,836,65.0717703349282,8
554,837,66.1887694145759,9
546,837,65.2329749103943,10
567,837,67.741935483871,11
579,836,69.2583732057416,12
566,837,67.6224611708483,13
548,837,65.4719235364397,14
571,837,68.2198327359618,15
551,836,65.9090909090909,16
536,837,64.0382317801673,17
547,837,65.352449223417,18
541,837,64.6356033452808,19
584,837,69.7729988052569,20
