TDT_Sample	TDT_status
418223	133.621
422863	133.263
427728	133.069
433025	150.856
437928	150.658
442590	150.313
447084	151.217
452646	150.949
457321	150.749
462010	150.427
466730	150.758
472057	151.064
476946	151.144
481610	151.282
486309	151.094
491584	151.044
496467	151.092
501118	151.025
505709	151.004
511175	150.964
515874	151.034
520569	151.067
525331	150.778
530870	150.947
535558	150.972
540073	151.814
544781	152.934
550417	154.334
555021	155.763
559605	156.609
564286	157.698
569779	158.502
574468	159.164
579164	159.820
583900	160.387
589280	160.625
594149	160.992
598665	160.735
603552	160.761
608827	160.323
613502	159.750
618161	159.984
622866	160.027
628316	160.195
633006	159.722
637699	157.669
642427	163.510
647844	169.492
652541	172.831
657264	173.631
661985	173.737
667374	171.242
672091	165.265
676766	142.638
682232	145.583
686914	165.258
691604	165.457
696334	160.959
701756	157.554
706446	157.788
711134	154.895
715858	153.969
721292	157.799
726148	160.638
730672	160.927
735356	160.573
740826	161.270
745523	161.453
750212	160.637
754906	160.470
760361	160.541
765075	160.893
769742	160.976
774538	160.560
779890	159.552
784582	159.751
789270	160.642
793960	159.336
799428	157.525
804116	156.285
808809	156.675
813716	159.259
818954	159.592
823652	160.077
828344	160.077
833038	159.878
838489	160.055
843249	160.373
847875	160.329
852560	160.162
858030	159.543
862717	159.058
867406	158.438
872097	157.650
877562	156.821
882253	156.142
886951	155.408
891630	154.851
897092	153.821
901847	153.091
906472	152.873
911944	152.611
916637	152.917
921321	152.669
926007	152.990
931474	152.693
936173	152.683
940857	152.368
945534	152.285
951004	152.139
955700	152.016
960392	151.401
965078	151.145
970544	150.445
975231	150.041
979921	149.407
984609	148.989
990075	148.970
994761	148.798
999450	148.687
1004139	148.732
1009604	148.612
1014307	148.582
1019043	148.813
1023676	148.650
1029141	148.519
1033835	148.720
1038521	148.606
1043209	148.388
1048675	148.554
1053375	148.428
1058058	148.367
1062740	148.375
1068205	148.435
1072904	148.398
1077594	148.168
1082275	148.169
1087747	148.102
1092439	147.985
1097122	148.224
1101811	148.440
1107282	148.618
1111969	148.536
1116652	148.239
1121361	148.123
1126826	148.245
1131499	148.147
1136240	148.094
1141700	148.353
1146343	148.308
1151034	148.246
1155741	148.058
1161191	148.161
1165873	148.039
1170580	148.103
1175260	148.071
1180724	148.200
1185421	148.160
1190103	147.950
1194794	148.275
1200310	147.794
1204955	148.056
1209644	147.784
1214323	147.734
1219797	147.754
1224480	147.843
1229176	147.488
1233859	147.897
1239337	147.866
1244017	147.539
1248705	147.807
1253396	147.450
1258868	147.642
1263545	147.678
1268235	148.029
1272932	147.467
1278405	147.570
1283083	147.401
1287775	147.656
1292460	147.254
1297937	147.688
1302615	147.684
1307309	147.294
1311998	147.334
1317465	147.435
1322153	147.340
1326853	147.242
1331531	147.221
1337004	147.402
1341681	147.265
1346376	147.218
1351070	147.089
1356529	147.526
1361220	147.211
1365905	147.259
1370596	147.299
1376068	146.978
1380763	146.842
1385439	147.206
1390902	147.058
1395607	146.983
1400292	146.977
1404980	147.096
1410443	146.863
1415136	146.712
1419820	147.066
1424506	146.997
1430010	146.919
1434661	146.909
1439379	146.727
1444043	146.873
1449512	146.592
1454194	146.889
1458888	146.650
1463571	146.934
1469064	146.753
1473738	146.915
1478425	146.863
1483109	146.718
1488572	146.514
1493262	146.771
1497963	146.413
1502649	146.373
1508112	146.559
1512806	146.368
1517488	146.016
1522184	145.305
1527650	143.926
1532334	138.246
1537037	119.012
1541725	84.151
1547180	63.549
1551868	60.799
1556553	56.770
1561246	56.835
1566717	56.478
1571398	57.243
1576094	60.135
1580787	86.911
1586250	98.994
1590933	135.875
1595623	143.020
1600339	144.287
1605779	145.299
1610480	145.313
1615156	145.526
1620632	145.738
1625333	145.526
1630027	145.820
1634691	145.669
1640173	144.586
1644864	144.050
1649564	144.368
1654240	144.202
1659720	144.025
1664423	143.426
1669082	143.120
1673763	142.933
1679237	142.785
1683917	143.335
1688605	143.810
1693292	142.644
1698770	141.981
1703447	142.196
1708142	142.358
1712832	142.266
1718292	142.188
1722991	142.321
1727681	142.038
1732363	141.882
1737829	141.737
1742525	141.895
1747207	142.164
1751893	141.812
1757365	143.290
1762055	143.505
1766743	142.924
1771422	143.136
1776895	143.710
1781668	143.169
1786269	143.292
1790967	143.977
1796436	143.626
1801122	144.533
1805812	144.738
1810493	144.900
1815965	144.945
1820654	144.963
1825335	145.038
1830038	145.057
1835493	145.173
1840263	145.078
1844869	144.894
1850346	145.075
1855028	145.026
1859722	144.906
1864409	144.955
1869873	144.752
1874559	144.728
1879261	144.781
1883949	144.706
1889407	144.686
1894098	144.843
1898861	144.741
1903470	144.558
1908963	144.635
1913644	144.678
1918326	144.651
1923009	144.545
1928479	144.702
1933163	144.557
1937852	144.510
1942537	144.567
1948013	144.435
1952696	144.619
1957389	144.466
1962082	144.159
1967544	143.925
1972238	142.401
1976928	138.576
1981615	141.021
1987076	142.706
1991770	143.611
1996455	144.214
2001145	144.298
2006614	144.221
2011296	144.512
2015988	144.578
2020677	144.417
2026156	144.397
2030842	144.362
2035525	144.372
2040213	144.261
2045681	144.177
2050383	144.406
2055050	144.101
2059755	144.368
2065204	144.290
2069928	144.032
2074592	144.310
2079282	144.488
2084746	144.387
2089438	144.323
2094133	144.151
2099594	144.026
2104284	143.717
2108965	143.959
2113662	143.909
2119120	143.909
2123810	143.955
2128499	144.054
2133195	144.019
2138661	144.169
2143351	144.039
2148039	144.005
2152730	143.874
2158193	143.989
2162875	143.959
2167577	143.801
2172256	143.999
2177733	143.796
2182419	143.936
2187174	143.913
2191806	143.708
2197262	143.560
2201946	143.748
2206643	143.472
2211343	143.880
2216799	143.882
2221478	143.654
2226170	143.521
2230869	143.579
2236326	143.669
2241013	143.632
2245698	143.727
2250398	143.602
2255861	143.508
2260551	143.530
2265237	143.362
2269930	143.627
2275399	143.318
2280083	143.374
2284781	143.547
2289478	143.407
2294937	143.349
2299615	143.392
2304324	143.488
2309012	143.415
2314470	143.533
2319150	143.433
2323840	143.278
2329305	143.397
2333997	143.197
2338682	143.455
2343382	143.115
2348841	143.034
2353530	143.252
2358215	143.235
2362922	143.298
2368368	143.162
2373063	143.142
2377759	143.234
2382449	143.113
2387906	143.240
2392593	142.890
2397285	142.878
2402003	143.205
2407444	143.168
2412137	143.014
2416816	143.243
2421573	143.032
2426970	143.175
2431670	143.041
2436362	143.004
2441040	143.101
2446511	142.805
2451199	143.012
2455888	142.815
2460582	142.880
2466054	142.876
2470735	142.695
2475423	142.951
2480158	142.853
2485602	142.780
2490272	142.563
2494960	142.556
2499649	142.502
2505122	142.538
2509804	142.686
2514488	142.704
2519182	142.822
2524646	142.500
2529332	142.670
2534023	142.524
2538782	142.467
2544207	142.551
2548873	142.525
2553556	142.473
2559029	142.212
2563714	142.440
2568396	142.342
2573093	142.107
2578568	142.281
2583248	142.277
2587931	142.063
2592629	142.179
2598112	141.986
2602786	142.000
2607473	142.147
2612160	142.140
2617626	141.970
2622312	142.048
2627003	142.175
2631697	142.058
