nCorrect,nTrials,pCorrect,Fold
349,529,65.9735349716446,1
361,529,68.241965973535,2
321,529,60.6805293005671,3
339,529,64.0831758034027,4
338,529,63.8941398865785,5
342,529,64.6502835538752,6
356,529,67.296786389414,7
348,528,65.9090909090909,8
357,529,67.4858223062382,9
342,529,64.6502835538752,10
340,528,64.3939393939394,11
328,529,62.0037807183365,12
323,529,61.0586011342155,13
342,529,64.6502835538752,14
323,529,61.0586011342155,15
341,529,64.461247637051,16
343,529,64.8393194706994,17
361,529,68.241965973535,18
341,529,64.461247637051,19
353,529,66.7296786389414,20
