nCorrect,nTrials,pCorrect,Fold
1906,2825,67.4690265486726,1
1850,2826,65.4635527246992,2
1777,2826,62.8803963198868,3
1774,2825,62.7964601769912,4
1892,2825,66.9734513274336,5
1832,2825,64.8495575221239,6
1815,2825,64.2477876106195,7
1833,2826,64.8619957537155,8
1842,2825,65.2035398230089,9
1824,2826,64.5435244161359,10
1806,2826,63.9065817409766,11
1825,2825,64.6017699115044,12
1876,2825,66.4070796460177,13
1868,2825,66.1238938053097,14
1816,2825,64.283185840708,15
1865,2825,66.0176991150443,16
1808,2826,63.9773531493277,17
1789,2825,63.3274336283186,18
1819,2825,64.3893805309735,19
1851,2826,65.4989384288747,20
