Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
1	0	10.546	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	10.802	0.140	1	255	
2	0	15.591	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	9	16.110	0.000	0	255	
3	1	33.070	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	33.517	0.140	1	255	
4	0	36.621	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	36.875	0.140	1	255	
5	0	52.124	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	52.933	0.140	1	255	
6	0	57.529	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	58.129	0.140	1	255	
7	0	59.314	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	3	59.760	0.000	0	255	
8	1	66.815	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	3	67.080	0.000	0	255	
9	1	76.527	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	3	76.952	0.000	0	255	
10	1	90.911	1	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	91.319	0.140	1	255	
11	0	98.692	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	99.004	0.140	1	255	
12	0	102.203	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	3	102.879	0.000	0	255	
13	1	108.550	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	9	108.960	0.140	1	255	
14	0	111.929	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	112.247	0.140	1	255	
15	0	115.791	0	-150	1	0.250	2	9	0.0	0.0	10	45.0	30.000	9	0.614	3	116.107	0.000	0	255	
16	0	119.306	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	120.040	0.140	1	255	
17	0	122.817	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	9	123.125	0.140	1	255	
18	0	126.334	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	127.420	0.140	1	255	
19	0	131.262	0	-150	1	0.250	2	9	0.0	0.0	9	45.0	30.000	9	0.538	9	131.814	0.140	1	255	
20	0	135.118	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	3	135.632	0.140	1	255	
21	0	139.918	0	-150	1	0.250	2	3	0.0	0.0	7	45.0	30.000	3	0.576	9	140.239	0.000	0	255	
22	0	143.347	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	143.714	0.140	1	255	
23	0	147.537	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	3	148.264	0.140	1	255	
24	0	151.012	1	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	153.713	0.140	1	255	
25	0	156.266	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	9	157.496	0.000	0	255	
26	1	162.239	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	162.692	0.140	1	255	
27	0	165.537	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	165.959	0.140	1	255	
28	0	169.804	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	170.001	0.140	1	255	
29	0	173.588	0	-150	1	0.250	2	9	0.0	0.0	1	45.0	30.000	9	0.576	9	173.940	0.140	1	255	
30	0	177.384	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	177.773	0.140	1	255	
31	0	180.513	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	181.123	0.140	1	255	
32	0	184.598	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	3	184.888	0.000	0	255	
33	1	189.834	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	190.499	0.140	1	255	
34	0	193.815	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	194.139	0.140	1	255	
35	0	196.722	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	3	197.687	0.140	1	255	
36	0	200.950	0	-150	1	0.250	2	3	0.0	0.0	3	45.0	30.000	3	0.614	9	201.276	0.000	0	255	
37	0	204.423	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	205.025	0.140	1	255	
38	0	207.677	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	208.109	0.140	1	255	
39	0	211.014	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	9	211.422	0.000	0	255	
40	1	218.585	1	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	3	221.371	0.140	1	255	
41	0	223.788	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.538	9	224.695	0.000	0	255	
42	1	229.656	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	230.205	0.140	1	255	
43	0	232.499	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	9	232.844	0.140	1	255	
44	0	235.205	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.651	3	235.514	0.140	1	255	
45	0	238.196	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	239.234	0.140	1	255	
46	0	241.930	0	-150	1	0.250	2	3	0.0	0.0	2	45.0	30.000	3	0.576	9	242.199	0.000	0	255	
47	0	244.871	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.614	3	245.611	0.000	0	255	
48	1	252.250	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	252.756	0.140	1	255	
49	0	259.353	0	-150	1	0.250	2	9	0.0	0.0	6	45.0	30.000	9	0.651	3	259.960	0.000	0	255	
50	0	262.911	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	263.532	0.140	1	255	
51	0	266.112	0	-150	1	0.250	2	3	0.0	0.0	6	45.0	30.000	3	0.538	9	266.782	0.000	0	255	
52	0	269.579	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	270.148	0.140	1	255	
53	0	273.324	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.576	9	273.774	0.140	1	255	
54	0	277.108	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	3	277.850	0.140	1	255	
55	0	282.756	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	9	283.076	0.140	1	255	
56	0	285.450	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	285.971	0.140	1	255	
57	0	289.100	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	289.502	0.140	1	255	
58	0	295.759	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.651	9	296.251	0.140	1	255	
59	0	304.982	1	-150	1	0.250	2	3	0.0	0.0	4	45.0	30.000	3	0.614	9	305.200	0.000	0	255	
60	0	310.776	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	311.383	0.140	1	255	
61	0	314.073	0	-150	1	0.250	2	9	0.0	0.0	1	45.0	30.000	9	0.651	9	314.677	0.140	1	255	
62	0	317.083	0	-150	1	0.250	2	3	0.0	0.0	6	45.0	30.000	3	0.538	3	317.634	0.140	1	255	
63	0	320.499	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	3	320.840	0.140	1	255	
64	0	324.314	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.501	9	325.609	0.140	1	255	
65	0	328.659	1	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.576	3	331.716	0.140	1	255	
66	0	334.506	0	-150	1	0.250	2	9	0.0	0.0	11	45.0	30.000	9	0.538	9	335.161	0.140	1	255	
67	0	337.679	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.501	3	338.571	0.140	1	255	
68	0	342.172	0	-150	1	0.250	2	3	0.0	0.0	5	45.0	30.000	3	0.614	3	342.927	0.140	1	255	
