nCorrect,nTrials,pCorrect,Fold
551,837,65.8303464755078,1
528,836,63.1578947368421,2
537,836,64.2344497607656,3
516,837,61.6487455197133,4
529,837,63.2019115890084,5
524,837,62.6045400238949,6
518,837,61.8876941457587,7
520,836,62.200956937799,8
569,836,68.0622009569378,9
538,837,64.2771804062127,10
541,837,64.6356033452808,11
529,837,63.2019115890084,12
520,837,62.1266427718041,13
557,836,66.6267942583732,14
528,837,63.0824372759857,15
542,837,64.7550776583035,16
554,837,66.1887694145759,17
541,837,64.6356033452808,18
573,837,68.4587813620072,19
544,837,64.9940262843489,20
