nCorrect,nTrials,pCorrect,Fold
981,1433,68.4577808792743,1
980,1434,68.3403068340307,2
1015,1433,70.8304256803908,3
1016,1433,70.9002093510119,4
1033,1434,72.0362622036262,5
1038,1434,72.3849372384937,6
989,1433,69.0160502442428,7
968,1434,67.5034867503487,8
997,1433,69.5743196092114,9
990,1434,69.0376569037657,10
1016,1433,70.9002093510119,11
1019,1433,71.1095603628751,12
1024,1434,71.4086471408647,13
1013,1433,70.6908583391486,14
1024,1433,71.4584787159805,15
1013,1433,70.6908583391486,16
1016,1434,70.8507670850767,17
988,1433,68.9462665736218,18
1014,1433,70.7606420097697,19
1008,1433,70.3419399860433,20
