Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
59	0	975.359	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	977.380	0.120	1	255	
60	0	985.031	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	3	987.444	0.120	1	255	
61	0	994.122	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	996.101	0.180	1	255	
62	0	1018.217	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	9	1020.427	0.000	0	255	
63	1	1027.514	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	1029.022	0.120	1	255	
64	0	1036.097	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	9	1038.012	0.000	0	255	
65	1	1044.017	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	1045.832	0.120	1	255	
66	0	1050.541	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	1052.959	0.180	1	255	
67	0	1069.647	0	-90	1	0.250	2	3	0.0	0.0	10	48.0	30.000	3	0.501	9	1071.453	0.000	0	255	
68	0	1093.319	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	1095.527	0.120	1	255	
69	0	1104.373	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	9	1106.444	0.000	0	255	
70	1	1113.360	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	3	1115.408	0.120	1	255	
71	0	1122.106	0	-90	1	0.250	2	3	0.0	0.0	10	48.0	30.000	3	0.551	9	1123.924	0.000	0	255	
72	0	1140.467	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.451	9	1142.789	0.180	1	255	
73	0	1164.060	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	1166.070	0.180	1	255	
74	0	1197.180	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	3	1200.136	0.000	0	255	
75	1	1206.083	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	1209.315	0.180	1	255	
76	0	1220.532	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	1222.819	0.180	1	255	
77	0	1244.958	0	-90	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.501	9	1247.223	0.180	1	255	
78	0	1295.559	0	-90	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.551	3	1297.676	0.120	1	255	
