nCorrect,nTrials,pCorrect,Fold
268,529,50.6616257088847,1
254,528,48.1060606060606,2
291,529,55.0094517958412,3
274,529,51.7958412098299,4
260,529,49.1493383742911,5
262,529,49.5274102079395,6
282,529,53.3081285444234,7
265,528,50.1893939393939,8
269,529,50.8506616257089,9
257,529,48.5822306238185,10
254,529,48.0151228733459,11
270,529,51.0396975425331,12
273,529,51.6068052930057,13
264,529,49.9054820415879,14
280,529,52.930056710775,15
275,529,51.9848771266541,16
246,529,46.5028355387524,17
272,529,51.4177693761815,18
290,529,54.820415879017,19
261,529,49.3383742911153,20
